record_id,requirement,measured_or_observed,pass_fail,operator,date_utc,notes
BR-001,Front plate 150x150x6 mm inspected,,,,,
BR-002,Back plate 150x150x6 mm inspected,,,,,
BR-003,Spacer 150x150x10 mm with 100x100 cavity inspected,,,,,
BR-004,Front gasket thickness measured at five points,,,,,
BR-005,Rear gasket thickness measured at five points,,,,,
BR-006,Center orifice GO 1.45 mm passes,,,,,
BR-007,Center orifice NO-GO 1.55 mm does not pass,,,,,
BR-008,Twelve fastener holes present and deburred,,,,,
BR-009,Bulkhead hole and PI1208S-US fit inspected,,,,,
BR-010,Assembled gap left 12.4 +/-0.1 mm,,,,,
BR-011,Assembled gap right 12.4 +/-0.1 mm,,,,,
BR-012,Assembled gap top 12.4 +/-0.1 mm,,,,,
BR-013,Assembled gap bottom 12.4 +/-0.1 mm,,,,,
BR-014,100 mm water-head fixture leak test passed,,,,,
BR-015,500 mm water-head fixture leak test passed,,,,,
BR-016,E-stop physically removes actuator-bus power,,,,,
BR-017,Pico remains powered when E-stop is pressed,,,,,
BR-018,Pressure air leg dry and sensor mounted above max water line,,,,,
BR-019,Load cell mechanically free of side contact,,,,,
BR-020,Agent A and B wetted paths independent,,,,,
BR-021,Nozzle outlets unobstructed,,,,,
BR-022,Spill tray installed,,,,,
BR-023,Sensor calibration artifact recorded,,,,,
BR-024,Pump calibration artifact recorded,,,,,
